Day,DATE,Norm,Aggressive,Step Aggressive,Actual,NO Move,FAT/kg,H20/kg,Other/kg,FAT %,H2O %,FAT delta,H2O delta,alcohol units,5day SUM,5 day RAT,Calories,EX AM,EX PM,Net Calories,,,,,,,,TARGET %FAT,TARGET %WATER,TARGET WEIGHT,FAT KG,H2O KG,MIN OTHER  KG,ATHLETE TARGET %FAT,ATHLETE TARGET %H2O,ATHLETE TARGET WEIGHT,ATHLETE FAT KG,ATHLETE H2O KG,ATHLETE OTHER  KG,,,,,,,,,,,,,,,,,,,,,,,,DATE,Norm,,Norm,Aggressive,Step Aggressive
Tuesday,01 January 2019,124.2,124.2,124.2,124.2,,,,,,,,,0.0,0.0,,1141,486,0,655,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Tuesday,01 January 2018,124.2,124.2,124.2,124.2,124.2
Wednesday,02 January 2019,124.0,124.0,123.8,124.2,,,,,,,,,0.0,0.0,,1189,270,380,539,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Wednesday,02 January 2018,124.1,124.1,124.0,124.0,123.8
Thursday,03 January 2019,123.8,123.8,123.3,123.2,,,,,,,,,0.0,0.0,0.0,1527,315,375,837,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Thursday,03 January 2018,124.0,123.9,123.8,123.8,123.3
Friday,04 January 2019,123.6,123.6,122.9,122.6,,,,,,,,,0.0,0.0,0.0,1455,360,225,870,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Friday,04 January 2018,123.9,123.8,123.6,123.6,122.9
Saturday,05 January 2019,123.5,123.5,122.4,122.9,,,,,,,,,0.0,0.0,0.0,1134,405,425,304,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Saturday,05 January 2018,123.8,123.7,123.5,123.5,122.4
Sunday,06 January 2019,123.3,123.3,122.0,122.8,,59.1,47.6,16.1,48.1,38.8,,,0.0,0.0,0.0,1361,540,265,556,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Sunday,06 January 2018,123.7,123.6,123.3,123.3,122.0
Monday,07 January 2019,123.1,123.1,121.6,122.3,,58.1,47.9,16.3,47.5,39.2,-1.0,0.3,0.0,0.0,0.0,1211,270,700,241,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Monday,07 January 2018,123.6,123.4,123.1,123.1,121.6
Tuesday,08 January 2019,122.9,122.9,121.1,121.8,,57.5,48.1,16.2,47.2,39.5,-0.6,0.2,0.0,0.0,0.0,1551,0,0,1551,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Tuesday,08 January 2018,123.4,123.3,122.9,122.9,121.1
Wednesday,09 January 2019,122.7,122.7,120.7,121.5,,57.1,48.1,16.3,47.0,39.6,-0.4,0.0,0.0,0.0,0.0,1775,669,513,593,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Wednesday,09 January 2018,123.3,123.2,122.7,122.7,120.7
Thursday,10 January 2019,122.5,122.5,120.3,121.6,,57.3,48.0,16.3,47.1,39.5,0.2,-0.1,0.0,0.0,0.0,1391,506,327,558,,,,,,,,25.0,55.0,92.0,23.0,50.6,18.4,12.0,65.0,88.0,10.6,57.2,20.2,,,,,,,,,,,,,,,,,,,,,,,Thursday,10 January 2018,123.2,123.1,122.5,122.5,120.3
